,store,sido-gu,address,phone
29,일산장항점,경기 고양시 일산동구,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",031-903-9991
30,전북대 후생관점,전북 전주시 덕진구,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,063-270-2174
31,전북대 진수당점,전북 전주시 덕진구,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,063-270-4350
32,전북대 중도라운지점,전북 전주시 덕진구,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,.
33,경희대 청운관점,서울 동대문구,서울 동대문구 경희대로 26 청운관 지하1층,.
34,덕성여대점,서울 강북구,서울시 강북구 삼양로 547 1~3층,02-6093-0011
35,전주백제대로점,전북 전주시 덕진구,전라북도 전주시 덕진구 백제대로 592 (금암동) 1층,063-271-5056
36,당산1가점,서울 영등포구,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",02-2679-7942
37,경북도청점,경북 예천군,경북 예천군 호명면 산합리 1427 1~2층,054-654-0048
38,부산백양대로DI점,부산 사상구,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,051-324-7779
39,분당미금점,경기 성남시 분당구,"경기도 성남시 분당구 미금일로90번길 24, B1F ~ 1F 구미동 35-3 ",010-6857-5532
40,부산일광신도시점,부산 기장군,부산광역시 기장군 일광읍 해빛6로 43-20 .,070-4790-2715
41,메리츠봉래타워점,서울 중구,서울시 중구 칠패로 28 메리츠강북타워 1층,02-753-8835
42,고양시청DI점,경기 고양시 덕양구,경기도 고양시 덕양구 호국로 730 2F,031-812-0105
43,(춘)치악휴게소점,강원 원주시,강원도 원주시 신림면 다리실2길 32 .,유선없음
44,간석오거리점,인천 남동구,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,032-425-0915
45,대구범어천로점,대구 수성구,"대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호, 201호",053-759-5779
46,고덕비즈밸리점,서울 강동구,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,070-7782-0055
47,창원팔용점,경남 창원시 의창구,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,055-298-3434
48,파르나스몰점,서울 강남구,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",02-3453-1024
49,석계역점,서울 노원구,서울시 노원구 화랑로 325 1층,02-942-1345
50,동해묵호점,강원 동해시,"강원특별자치도 동해시 해안로 368 (평릉동, 할리스커피) 1~3층",033-534-8902
51,충남도청점,충남 홍성군,충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워) 신경리 553,041-631-4725
52,세종국책연구단지점,세종 세종시,"세종특별자치시 시청대로 370 (반곡동, 나라키움세종국책연구단지) .",044-865-4684
53,동아대 인문대점,부산 사하구,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",051-200-6165
54,경상대 느티마루점,경남 진주시,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",.
55,경북대 크누라운지점,대구 북구,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",.
56,국민대 성곡도서관점,서울 성북구,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",02-910-4954
57,atti-C 2023점,광주 북구,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",062-530-0040
58,경희대 경영대점,서울 동대문구,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,.
59,광주상무점,광주 서구,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",062-371-7778
60,청주내수DI점,충북 청주시 청원구,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,043-241-0517
61,명동역점,서울 중구,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",02-752-5925
62,인천굴포천역점,인천 부평구,"인천광역시 부평구 충선로209번길 49 (삼산동, 삼산노블시티프라자) 삼산동 463-2, 103,104,105호",070-4400-4664
63,대구팔달교DT점,대구 서구,대구광역시 서구 팔달로 34 (비산동) 1~2층,0507-1323-9597
64,인천공항교통센터점,인천 중구,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",032-743-3718
65,한국선원센터점,부산 중구,"부산광역시 중구 충장대로9번길 66 (중앙동4가, 한국선원센터) (중앙동4가 74-7)1층",070-4070-7506
66,제주애월천덕로점,제주 제주시,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,064-799-6667
67,화성만세DT점,경기 화성시,경기도 화성시 향남읍 서해로 191 1층,070-5159-5942
68,대구장기점,대구 달서구,대구광역시 달서구 장기로 268 1~2층,053-522-0666
69,부산연산점,부산 연제구,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
70,평촌점,경기 안양시 동안구,경기도 안양시 동안구 관평로170번길 43 (훼미리타운) 1층,031-385-3400
71,남동케이원점,인천 남동구,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",032-821-9110
72,오송역사점,충북 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,.
73,구미CGV점,경북 구미시,"경상북도 구미시 구미중앙로 44 (멀티복합상가) 원평동68-1, 1층",054-604-0375
74,왕십리역점,서울 성동구,서울특별시 성동구 왕십리광장로 17 (왕십리민자역사) 비트플렉스몰 3층 영풍문고 내,02-2200-1303
75,울산정자해변점,울산 북구,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,052-281-0620
76,부산서면일번가점,부산 부산진구,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,051-819-1449
77,강릉안목해변점,강원 강릉시,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",070-7575-0184
78,경주용강DT점,경북 경주시,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",070-7575-0185
79,군산수송점,전북 군산시,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",063-467-9500
80,광주운암점,광주 북구,광주광역시 북구 북문대로 184 (운암동) .,062-531-7711
81,이천축산농협점,경기 이천시,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,031-635-6694
82,구리돌다리점,경기 구리시,경기도 구리시 경춘로227번길 14 (인창동) 1층,031-564-4565
83,소월아트홀점,서울 성동구,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,02-2294-7002
84,송파거여역점,서울 송파구,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",02-449-6232
85,경주주상절리점,경북 경주시,경상북도 경주시 양남면 동해안로 486 .,054-743-3780
86,(하)홍성휴게소점,충남 홍성군,충청남도 홍성군 은하면 금국리 275-2 .,041-642-1172
87,(상)홍성휴게소점,충남 홍성군,충청남도 홍성군 은하면 서해안고속도로 220 .,041-642-1172
88,서초마제스타시티점,서울 서초구,서울특별시 서초구 서초대로38길 12 (힐스테이트서리풀) .,02-6411-0063
89,울산KTX점,울산 울주군,울산광역시 울주군 삼남읍 도호1길 38 1층,052-937-8887
